2,35,41	//两种按键， 第一种42个，第二种48个
204,29,39,216	//	1	待机//第1列
204,29,36,219	//	2	红灯
204,29,37,218	//	3	绿灯
204,29,38,217	//	4	黄灯
204,29,1,254	//	5	静音//第2列
204,29,26,229	//	6	返回
204,29,0,255	//	7	空白键
204,29,32,223	//	8	列表//第3列
204,29,33,222	//	9	指南
204,29,34,221	//	10	信息
204,29,35,220	//	11	服务
204,29,2,253	//	12	菜单//第4列
204,29,9,246	//	13	上一页
204,29,5,250	//	14	向上//第5列
204,29,7,248	//	15	向左
204,29,6,249	//	16	向下
204,29,8,247	//	17	向右
204,29,4,251	//	18	确认
204,29,3,252	//	19	退出//第6列
204,29,10,245	//	20	下一页
204,29,27,228	//	21	电视广播//第7列
204,29,40,215	//	22	F1
204,29,41,214	//	23	F2
204,29,42,213	//	24	F3
204,29,43,212	//	25	F4
204,29,17,238	//	26	1//第8列
204,29,18,237	//	27	2
204,29,19,236	//	28	3
204,29,20,235	//	29	4
204,29,21,234	//	30	5
204,29,22,233	//	31	6
204,29,23,232	//	32	7
204,29,24,231	//	33	8
204,29,25,230	//	34	9
204,29,16,239	//	35	0
49,206,89,166	//	1	关闭
49,206,66,189	//	2	红色
49,206,64,191	//	3	绿色
49,206,0,255	//	4	黄色
49,206,3,252	//	5	蓝色
49,206,74,181	//	6	搜索	serach
49,206,72,183	//	7	清除	clear
49,206,19,236	//	8	A-B
49,206,23,232	//	9	重复	repeat
49,206,69,186	//	10	返回	return
49,206,5,250	//	11	选项	option
49,206,77,178	//	12	SUB-T
49,206,81,174	//	13	音频	audio
49,206,14,241	//	14	信息	info
49,206,17,238	//	15	字幕	title popup
49,206,11,244	//	16	Vol+
49,206,8,247	//	17	Vol-
49,206,13,242	//	18	菜单	disc menu
49,206,21,234	//	19	停止
49,206,24,231	//	20	静音
49,206,6,249	//	21	上
49,206,90,165	//	22	左
49,206,22,233	//	23	下
49,206,27,228	//	24	右
49,206,26,229	//	25	OK
49,206,25,230	//	26	出仓
49,206,85,170	//	27	开始/暂停
49,206,70,185	//	28	快退
49,206,68,187	//	29	快进
49,206,4,251	//	30	上一曲
49,206,7,248	//	31	下一曲
49,206,82,173	//	32	1
49,206,80,175	//	33	2
49,206,16,239	//	34	3
49,206,86,169	//	35	4
49,206,84,171	//	36	5
49,206,20,235	//	37	6
49,206,78,177	//	38	7
49,206,76,179	//	39	8
49,206,12,243	//	40	9
49,206,15,240	//	41	0
